ulasan,rating,kategori,nama_produk,ulasan_tokenize,ulasan_normalized,ulasan_stop_removed,ulasan_Stemmed,ulasan_clean,label
sesuai deskripsithanks gansukses terus,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['sesuai', 'deskripsithanks', 'gansukses', 'terus']","['sesuai', 'deskripsithanks', 'gansukses', 'terus']","['sesuai', 'deskripsithanks', 'gansukses']","['sesuai', 'deskripsithanks', 'gansukses']",sesuai deskripsithanks gansukses,2
trim gan respon cepat baranh udah di coba kondisi oke mantap siap order lg,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['trim', 'gan', 'respon', 'cepat', 'baranh', 'udah', 'di', 'coba', 'kondisi', 'oke', 'mantap', 'siap', 'order', 'lg']","['trim', 'juragan', 'respon', 'cepat', 'baranh', 'sudah', 'di', 'coba', 'kondisi', 'oke', 'mantap', 'siap', 'order', 'lagi']","['trim', 'juragan', 'respon', 'cepat', 'baranh', 'coba', 'kondisi', 'oke', 'mantap', 'order']","['trim', 'juragan', 'respon', 'cepat', 'baranh', 'coba', 'kondisi', 'oke', 'mantap', 'order']",trim juragan respon cepat baranh coba kondisi oke mantap order,2
,5,pertukangan,Hekter Tembak / Staples / Guntacker,[],[],[],[],,2
lagi lagi proses cepat pengiriman kilat packing mantab pokoknya best seller,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['lagi', 'lagi', 'proses', 'cepat', 'pengiriman', 'kilat', 'packing', 'mantab', 'pokoknya', 'best', 'seller']","['lagi', 'lagi', 'proses', 'cepat', 'pengiriman', 'kilat', 'packing', 'mantap', 'pokoknya', 'best', 'seller']","['proses', 'cepat', 'pengiriman', 'kilat', 'packing', 'mantap', 'pokoknya', 'best', 'seller']","['proses', 'cepat', 'kirim', 'kilat', 'packing', 'mantap', 'pokok', 'best', 'seller']",proses cepat kirim kilat packing mantap pokok best seller,2
proses cepat harga murah barang bagus tq boss,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['proses', 'cepat', 'harga', 'murah', 'barang', 'bagus', 'tq', 'boss']","['proses', 'cepat', 'harga', 'murah', 'barang', 'bagus', 'terima kasih', 'bos']","['proses', 'cepat', 'harga', 'murah', 'barang', 'bagus', 'terima kasih', 'bos']","['proses', 'cepat', 'harga', 'murah', 'barang', 'bagus', 'terima kasih', 'bos']",proses cepat harga murah barang bagus terima kasih bos,2
cepat rapi dan juga murah tapi gak murahan,4,pertukangan,Hekter Tembak / Staples / Guntacker,"['cepat', 'rapi', 'dan', 'juga', 'murah', 'tapi', 'gak', 'murahan']","['cepat', 'rapi', 'dan', 'juga', 'murah', 'tapi', 'tidak', 'murahan']","['cepat', 'rapi', 'murah', 'murahan']","['cepat', 'rapi', 'murah', 'murah']",cepat rapi murah murah,2
barang okeeeeeeeee smpe dengan selamat,4,pertukangan,Hekter Tembak / Staples / Guntacker,"['barang', 'okeeeeeeeee', 'smpe', 'dengan', 'selamat']","['barang', 'okeeeeeeeee', 'sampai', 'dengan', 'selamat']","['barang', 'okeeeeeeeee', 'selamat']","['barang', 'okeeeeeeeee', 'selamat']",barang okeeeeeeeee selamat,2
proses cepat pengiriman kilat packing mantab pokoknya best seller,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['proses', 'cepat', 'pengiriman', 'kilat', 'packing', 'mantab', 'pokoknya', 'best', 'seller']","['proses', 'cepat', 'pengiriman', 'kilat', 'packing', 'mantap', 'pokoknya', 'best', 'seller']","['proses', 'cepat', 'pengiriman', 'kilat', 'packing', 'mantap', 'pokoknya', 'best', 'seller']","['proses', 'cepat', 'kirim', 'kilat', 'packing', 'mantap', 'pokok', 'best', 'seller']",proses cepat kirim kilat packing mantap pokok best seller,2
thx boss barang telah di terima dan di tes ok,4,pertukangan,Hekter Tembak / Staples / Guntacker,"['thx', 'boss', 'barang', 'telah', 'di', 'terima', 'dan', 'di', 'tes', 'ok']","['terima kasih', 'bos', 'barang', 'telah', 'di', 'terima', 'dan', 'di', 'tes', 'oke']","['terima kasih', 'bos', 'barang', 'terima', 'tes', 'oke']","['terima kasih', 'bos', 'barang', 'terima', 'tes', 'oke']",terima kasih bos barang terima tes oke,2
sudah dicoba barangya berfungsi dengan baik,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['sudah', 'dicoba', 'barangya', 'berfungsi', 'dengan', 'baik']","['sudah', 'dicoba', 'barangya', 'berfungsi', 'dengan', 'baik']","['dicoba', 'barangya', 'berfungsi']","['coba', 'barangya', 'fungsi']",coba barangya fungsi,2
barang sudah sampaisesuai dengan pesananterimakasih,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['barang', 'sudah', 'sampaisesuai', 'dengan', 'pesananterimakasih']","['barang', 'sudah', 'sampaisesuai', 'dengan', 'pesananterimakasih']","['barang', 'sampaisesuai', 'pesananterimakasih']","['barang', 'sampaisesuai', 'pesananterimakasih']",barang sampaisesuai pesananterimakasih,2
sesuai ekspektasi tampak kokoh sip lh,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['sesuai', 'ekspektasi', 'tampak', 'kokoh', 'sip', 'lh']","['sesuai', 'ekspektasi', 'tampak', 'kokoh', 'sip', 'lho']","['sesuai', 'ekspektasi', 'kokoh', 'sip', 'lho']","['sesuai', 'ekspektasi', 'kokoh', 'sip', 'lho']",sesuai ekspektasi kokoh sip lho,2
sdh sampai sedikit penyok packing nyatapi super kilat pengirimannyathx bos,4,pertukangan,Hekter Tembak / Staples / Guntacker,"['sdh', 'sampai', 'sedikit', 'penyok', 'packing', 'nyatapi', 'super', 'kilat', 'pengirimannyathx', 'bos']","['sudah', 'sampai', 'sedikit', 'penyok', 'packing', 'nyatapi', 'super', 'kilat', 'pengirimannyathx', 'bos']","['penyok', 'packing', 'nyatapi', 'super', 'kilat', 'pengirimannyathx', 'bos']","['penyok', 'packing', 'nyatapi', 'super', 'kilat', 'pengirimannyathx', 'bos']",penyok packing nyatapi super kilat pengirimannyathx bos,2
reveiw negatif   barang sampai masih tersegel padahal udah diminta buat dicoba dulu sebelum dikirim alhamdulillah ga ada masalah jadi ga perlu ada kompain apalagi berkepanjangan mungkin karena seller udah yakin barangnya bagus   tidak direkomendasikan untuk amunisi jenis   mm paku karena terjadi macet dan harus dibongkar lalu aminisi yg nyangkut didorong paksa keluar bisa disebut ini kelemahan produk serupa merk apapun bisa dilihat di gambar review positif   barangnya emejing materialnya manteb harga warbiazah packing aman dan tebal   bisa digunakan dengan   jenis amunisi dan dibekali   jenis amunisinya sayangnya   amunisi tidak direkomendasikan disebut di atas   ada fitur adjutable driving force sangat membantu untuk menyesuaikan medan pemakuan   bila terlanjur macet karena amunisis paku yg disebut tadi pembongkaran mudah cukup lepas   pin yang di atas dorong paksa dengan pendorongnya kondisi macet cek di gambar kesimpulannya lihatnya bintang yang mewakili kepuasan saya semoga laris manis buat recomended seller ini,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['reveiw', 'negatif', 'barang', 'sampai', 'masih', 'tersegel', 'padahal', 'udah', 'diminta', 'buat', 'dicoba', 'dulu', 'sebelum', 'dikirim', 'alhamdulillah', 'ga', 'ada', 'masalah', 'jadi', 'ga', 'perlu', 'ada', 'kompain', 'apalagi', 'berkepanjangan', 'mungkin', 'karena', 'seller', 'udah', 'yakin', 'barangnya', 'bagus', 'tidak', 'direkomendasikan', 'untuk', 'amunisi', 'jenis', 'mm', 'paku', 'karena', 'terjadi', 'macet', 'dan', 'harus', 'dibongkar', 'lalu', 'aminisi', 'yg', 'nyangkut', 'didorong', 'paksa', 'keluar', 'bisa', 'disebut', 'ini', 'kelemahan', 'produk', 'serupa', 'merk', 'apapun', 'bisa', 'dilihat', 'di', 'gambar', 'review', 'positif', 'barangnya', 'emejing', 'materialnya', 'manteb', 'harga', 'warbiazah', 'packing', 'aman', 'dan', 'tebal', 'bisa', 'digunakan', 'dengan', 'jenis', 'amunisi', 'dan', 'dibekali', 'jenis', 'amunisinya', 'sayangnya', 'amunisi', 'tidak', 'direkomendasikan', 'disebut', 'di', 'atas', 'ada', 'fitur', 'adjutable', 'driving', 'force', 'sangat', 'membantu', 'untuk', 'menyesuaikan', 'medan', 'pemakuan', 'bila', 'terlanjur', 'macet', 'karena', 'amunisis', 'paku', 'yg', 'disebut', 'tadi', 'pembongkaran', 'mudah', 'cukup', 'lepas', 'pin', 'yang', 'di', 'atas', 'dorong', 'paksa', 'dengan', 'pendorongnya', 'kondisi', 'macet', 'cek', 'di', 'gambar', 'kesimpulannya', 'lihatnya', 'bintang', 'yang', 'mewakili', 'kepuasan', 'saya', 'semoga', 'laris', 'manis', 'buat', 'recomended', 'seller', 'ini']","['reveiw', 'negatif', 'barang', 'sampai', 'masih', 'tersegel', 'padahal', 'sudah', 'diminta', 'buat', 'dicoba', 'dulu', 'sebelum', 'dikirim', 'alhamdulillah', 'tidak', 'ada', 'masalah', 'jadi', 'tidak', 'perlu', 'ada', 'kompain', 'apalagi', 'berkepanjangan', 'mungkin', 'karena', 'seller', 'sudah', 'yakin', 'barangnya', 'bagus', 'tidak', 'direkomendasikan', 'untuk', 'amunisi', 'jenis', 'mm', 'paku', 'karena', 'terjadi', 'macet', 'dan', 'harus', 'dibongkar', 'lalu', 'aminisi', 'yang', 'menyangkut', 'didorong', 'paksa', 'keluar', 'bisa', 'disebut', 'ini', 'kelemahan', 'produk', 'serupa', 'merek', 'apapun', 'bisa', 'dilihat', 'di', 'gambar', 'review', 'positif', 'barangnya', 'emejing', 'materialnya', 'mantap', 'harga', 'warbiazah', 'packing', 'aman', 'dan', 'tebal', 'bisa', 'digunakan', 'dengan', 'jenis', 'amunisi', 'dan', 'dibekali', 'jenis', 'amunisinya', 'sayangnya', 'amunisi', 'tidak', 'direkomendasikan', 'disebut', 'di', 'atas', 'ada', 'fitur', 'adjutable', 'driving', 'force', 'sangat', 'membantu', 'untuk', 'menyesuaikan', 'medan', 'pemakuan', 'bila', 'terlanjur', 'macet', 'karena', 'amunisis', 'paku', 'yang', 'disebut', 'tadi', 'pembongkaran', 'mudah', 'cukup', 'lepas', 'pin', 'yang', 'di', 'atas', 'dorong', 'paksa', 'dengan', 'pendorongnya', 'kondisi', 'macet', 'cek', 'di', 'gambar', 'kesimpulannya', 'lihatnya', 'bintang', 'yang', 'mewakili', 'kepuasan', 'saya', 'semoga', 'laris', 'manis', 'buat', 'rekomendasi', 'seller', 'ini']","['reveiw', 'negatif', 'barang', 'tersegel', 'dicoba', 'dikirim', 'alhamdulillah', 'kompain', 'berkepanjangan', 'seller', 'barangnya', 'bagus', 'direkomendasikan', 'amunisi', 'jenis', 'mm', 'paku', 'macet', 'dibongkar', 'aminisi', 'didorong', 'paksa', 'kelemahan', 'produk', 'merek', 'apapun', 'gambar', 'review', 'positif', 'barangnya', 'emejing', 'materialnya', 'mantap', 'harga', 'warbiazah', 'packing', 'aman', 'tebal', 'jenis', 'amunisi', 'dibekali', 'jenis', 'amunisinya', 'sayangnya', 'amunisi', 'direkomendasikan', 'fitur', 'adjutable', 'driving', 'force', 'membantu', 'menyesuaikan', 'medan', 'pemakuan', 'terlanjur', 'macet', 'amunisis', 'paku', 'pembongkaran', 'mudah', 'lepas', 'pin', 'dorong', 'paksa', 'pendorongnya', 'kondisi', 'macet', 'cek', 'gambar', 'kesimpulannya', 'lihatnya', 'bintang', 'mewakili', 'kepuasan', 'semoga', 'laris', 'manis', 'rekomendasi', 'seller']","['reveiw', 'negatif', 'barang', 'segel', 'coba', 'kirim', 'alhamdulillah', 'kompain', 'panjang', 'seller', 'barang', 'bagus', 'rekomendasi', 'amunisi', 'jenis', 'mm', 'paku', 'macet', 'bongkar', 'aminisi', 'dorong', 'paksa', 'lemah', 'produk', 'merek', 'apa', 'gambar', 'review', 'positif', 'barang', 'emejing', 'material', 'mantap', 'harga', 'warbiazah', 'packing', 'aman', 'tebal', 'jenis', 'amunisi', 'bekal', 'jenis', 'amunisi', 'sayang', 'amunisi', 'rekomendasi', 'fitur', 'adjutable', 'driving', 'force', 'bantu', 'sesuai', 'medan', 'paku', 'lanjur', 'macet', 'amunisis', 'paku', 'bongkar', 'mudah', 'lepas', 'pin', 'dorong', 'paksa', 'dorong', 'kondisi', 'macet', 'cek', 'gambar', 'simpul', 'lihat', 'bintang', 'wakil', 'puas', 'moga', 'laris', 'manis', 'rekomendasi', 'seller']",reveiw negatif barang segel coba kirim alhamdulillah kompain panjang seller barang bagus rekomendasi amunisi jenis mm paku macet bongkar aminisi dorong paksa lemah produk merek apa gambar review positif barang emejing material mantap harga warbiazah packing aman tebal jenis amunisi bekal jenis amunisi sayang amunisi rekomendasi fitur adjutable driving force bantu sesuai medan paku lanjur macet amunisis paku bongkar mudah lepas pin dorong paksa dorong kondisi macet cek gambar simpul lihat bintang wakil puas moga laris manis rekomendasi seller,2
paket udah diterima gan paking dan barangnya mantap,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['paket', 'udah', 'diterima', 'gan', 'paking', 'dan', 'barangnya', 'mantap']","['paket', 'sudah', 'diterima', 'juragan', 'paking', 'dan', 'barangnya', 'mantap']","['paket', 'diterima', 'juragan', 'paking', 'barangnya', 'mantap']","['paket', 'terima', 'juragan', 'paking', 'barang', 'mantap']",paket terima juragan paking barang mantap,2
blm di coba semoga awet dan bagustanks gan ,4,pertukangan,Hekter Tembak / Staples / Guntacker,"['blm', 'di', 'coba', 'semoga', 'awet', 'dan', 'bagustanks', 'gan']","['belum', 'di', 'coba', 'semoga', 'awet', 'dan', 'bagustanks', 'juragan']","['coba', 'semoga', 'awet', 'bagustanks', 'juragan']","['coba', 'moga', 'awet', 'bagustanks', 'juragan']",coba moga awet bagustanks juragan,2
thanks ganbarangnya baru diterima belum dicoba,4,pertukangan,Hekter Tembak / Staples / Guntacker,"['thanks', 'ganbarangnya', 'baru', 'diterima', 'belum', 'dicoba']","['terima kasih', 'ganbarangnya', 'baru', 'diterima', 'belum', 'dicoba']","['terima kasih', 'ganbarangnya', 'diterima', 'dicoba']","['terima kasih', 'ganbarangnya', 'terima', 'coba']",terima kasih ganbarangnya terima coba,2
ok barang sudah di terimamantapmkasih,4,pertukangan,Hekter Tembak / Staples / Guntacker,"['ok', 'barang', 'sudah', 'di', 'terimamantapmkasih']","['oke', 'barang', 'sudah', 'di', 'terimamantapmkasih']","['oke', 'barang', 'terimamantapmkasih']","['oke', 'barang', 'terimamantapmkasih']",oke barang terimamantapmkasih,2
makash ya gannnnnnnnnnnnnnnnnnnn,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['makash', 'ya', 'gannnnnnnnnnnnnnnnnnnn']","['makash', 'ya', 'gannnnnnnnnnnnnnnnnnnn']","['makash', 'ya', 'gannnnnnnnnnnnnnnnnnnn']","['makash', 'ya', 'gannnnnnnnnnnnnnnnnnnn']",makash ya gannnnnnnnnnnnnnnnnnnn,2
terimakasih gan barang sudah sampai dengan selamat,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['terimakasih', 'gan', 'barang', 'sudah', 'sampai', 'dengan', 'selamat']","['terima kasih', 'juragan', 'barang', 'sudah', 'sampai', 'dengan', 'selamat']","['terima kasih', 'juragan', 'barang', 'selamat']","['terima kasih', 'juragan', 'barang', 'selamat']",terima kasih juragan barang selamat,2
barang sudah sampai dan sesuai harapan,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['barang', 'sudah', 'sampai', 'dan', 'sesuai', 'harapan']","['barang', 'sudah', 'sampai', 'dan', 'sesuai', 'harapan']","['barang', 'sesuai', 'harapan']","['barang', 'sesuai', 'harap']",barang sesuai harap,2
biar bintang bicara deh terima kasih,4,pertukangan,Hekter Tembak / Staples / Guntacker,"['biar', 'bintang', 'bicara', 'deh', 'terima', 'kasih']","['biar', 'bintang', 'bicara', 'deh', 'terima', 'kasih']","['biar', 'bintang', 'bicara', 'deh', 'terima', 'kasih']","['biar', 'bintang', 'bicara', 'deh', 'terima', 'kasih']",biar bintang bicara deh terima kasih,2
barang ok fast respon thanks gan,4,pertukangan,Hekter Tembak / Staples / Guntacker,"['barang', 'ok', 'fast', 'respon', 'thanks', 'gan']","['barang', 'oke', 'fast', 'respon', 'terima kasih', 'juragan']","['barang', 'oke', 'fast', 'respon', 'terima kasih', 'juragan']","['barang', 'oke', 'fast', 'respon', 'terima kasih', 'juragan']",barang oke fast respon terima kasih juragan,2
thanks gan paket dh sampai barang ok dn sesuai pesanan recomended seller,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['thanks', 'gan', 'paket', 'dh', 'sampai', 'barang', 'ok', 'dn', 'sesuai', 'pesanan', 'recomended', 'seller']","['terima kasih', 'juragan', 'paket', 'sudah', 'sampai', 'barang', 'oke', 'dan', 'sesuai', 'pesanan', 'rekomendasi', 'seller']","['terima kasih', 'juragan', 'paket', 'barang', 'oke', 'sesuai', 'pesanan', 'rekomendasi', 'seller']","['terima kasih', 'juragan', 'paket', 'barang', 'oke', 'sesuai', 'pesan', 'rekomendasi', 'seller']",terima kasih juragan paket barang oke sesuai pesan rekomendasi seller,2
terima kasih,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['terima', 'kasih']","['terima', 'kasih']","['terima', 'kasih']","['terima', 'kasih']",terima kasih,2
brg sudah terima pengiriman cepat kualitas barang bagus melebihi ekspektasi saya untuk barang ini sdh dicoba mantap hasilnya recommended seller,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['brg', 'sudah', 'terima', 'pengiriman', 'cepat', 'kualitas', 'barang', 'bagus', 'melebihi', 'ekspektasi', 'saya', 'untuk', 'barang', 'ini', 'sdh', 'dicoba', 'mantap', 'hasilnya', 'recommended', 'seller']","['barang', 'sudah', 'terima', 'pengiriman', 'cepat', 'kualitas', 'barang', 'bagus', 'melebihi', 'ekspektasi', 'saya', 'untuk', 'barang', 'ini', 'sudah', 'dicoba', 'mantap', 'hasilnya', 'rekomendasi', 'seller']","['barang', 'terima', 'pengiriman', 'cepat', 'kualitas', 'barang', 'bagus', 'melebihi', 'ekspektasi', 'barang', 'dicoba', 'mantap', 'hasilnya', 'rekomendasi', 'seller']","['barang', 'terima', 'kirim', 'cepat', 'kualitas', 'barang', 'bagus', 'lebih', 'ekspektasi', 'barang', 'coba', 'mantap', 'hasil', 'rekomendasi', 'seller']",barang terima kirim cepat kualitas barang bagus lebih ekspektasi barang coba mantap hasil rekomendasi seller,2
produk bagus mantap sukses terus,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['produk', 'bagus', 'mantap', 'sukses', 'terus']","['produk', 'bagus', 'mantap', 'sukses', 'terus']","['produk', 'bagus', 'mantap', 'sukses']","['produk', 'bagus', 'mantap', 'sukses']",produk bagus mantap sukses,2
ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff,1,pertukangan,Hekter Tembak / Staples / Guntacker,['ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff'],['ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff'],['ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff'],['ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff'],ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff,0
sudah sampai terima kasih banyaaak,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['sudah', 'sampai', 'terima', 'kasih', 'banyaaak']","['sudah', 'sampai', 'terima', 'kasih', 'banyaaak']","['terima', 'kasih', 'banyaaak']","['terima', 'kasih', 'banyaaak']",terima kasih banyaaak,2
warning  awas  hatihati  agan ini menjual barang murah tapi tidak murahan  semoga banyak penjual barang di tokopedia seperti agan ini jujur and fast respon terimakasih eddy suryadi  gunungsitoli,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['warning', 'awas', 'hatihati', 'agan', 'ini', 'menjual', 'barang', 'murah', 'tapi', 'tidak', 'murahan', 'semoga', 'banyak', 'penjual', 'barang', 'di', 'tokopedia', 'seperti', 'agan', 'ini', 'jujur', 'and', 'fast', 'respon', 'terimakasih', 'eddy', 'suryadi', 'gunungsitoli']","['warning', 'awas', 'hatihati', 'agan', 'ini', 'menjual', 'barang', 'murah', 'tapi', 'tidak', 'murahan', 'semoga', 'banyak', 'penjual', 'barang', 'di', 'tokopedia', 'seperti', 'agan', 'ini', 'jujur', 'and', 'fast', 'respon', 'terima kasih', 'eddy', 'suryadi', 'gunung sitoli']","['warning', 'awas', 'hatihati', 'agan', 'menjual', 'barang', 'murah', 'murahan', 'semoga', 'penjual', 'barang', 'tokopedia', 'agan', 'jujur', 'and', 'fast', 'respon', 'terima kasih', 'eddy', 'suryadi', 'gunung sitoli']","['warning', 'awas', 'hatihati', 'agan', 'jual', 'barang', 'murah', 'murah', 'moga', 'jual', 'barang', 'tokopedia', 'agan', 'jujur', 'and', 'fast', 'respon', 'terima kasih', 'eddy', 'suryadi', 'gunung sitoli']",warning awas hatihati agan jual barang murah murah moga jual barang tokopedia agan jujur and fast respon terima kasih eddy suryadi gunung sitoli,2
barang sdh sampe dgn baik sukses yaa gan,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['barang', 'sdh', 'sampe', 'dgn', 'baik', 'sukses', 'yaa', 'gan']","['barang', 'sudah', 'sampai', 'dengan', 'baik', 'sukses', 'ya', 'juragan']","['barang', 'sukses', 'ya', 'juragan']","['barang', 'sukses', 'ya', 'juragan']",barang sukses ya juragan,2
barang sudah diterima dengan baik terima kasih,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['barang', 'sudah', 'diterima', 'dengan', 'baik', 'terima', 'kasih']","['barang', 'sudah', 'diterima', 'dengan', 'baik', 'terima', 'kasih']","['barang', 'diterima', 'terima', 'kasih']","['barang', 'terima', 'terima', 'kasih']",barang terima terima kasih,2
barang sdh diterima thx,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['barang', 'sdh', 'diterima', 'thx']","['barang', 'sudah', 'diterima', 'terima kasih']","['barang', 'diterima', 'terima kasih']","['barang', 'terima', 'terima kasih']",barang terima terima kasih,2
produk yang datang memang sesuai dengan harga yang ditawarkan dan semoga produk ini dapat menambah performa kerja saya pelayanan seller sangat memuaskan cepat dan akurat,3,pertukangan,Hekter Tembak / Staples / Guntacker,"['produk', 'yang', 'datang', 'memang', 'sesuai', 'dengan', 'harga', 'yang', 'ditawarkan', 'dan', 'semoga', 'produk', 'ini', 'dapat', 'menambah', 'performa', 'kerja', 'saya', 'pelayanan', 'seller', 'sangat', 'memuaskan', 'cepat', 'dan', 'akurat']","['produk', 'yang', 'datang', 'memang', 'sesuai', 'dengan', 'harga', 'yang', 'ditawarkan', 'dan', 'semoga', 'produk', 'ini', 'dapat', 'menambah', 'performa', 'kerja', 'saya', 'pelayanan', 'seller', 'sangat', 'memuaskan', 'cepat', 'dan', 'akurat']","['produk', 'sesuai', 'harga', 'ditawarkan', 'semoga', 'produk', 'menambah', 'performa', 'kerja', 'pelayanan', 'seller', 'memuaskan', 'cepat', 'akurat']","['produk', 'sesuai', 'harga', 'tawar', 'moga', 'produk', 'tambah', 'performa', 'kerja', 'layan', 'seller', 'muas', 'cepat', 'akurat']",produk sesuai harga tawar moga produk tambah performa kerja layan seller muas cepat akurat,1
barang sesuai dengan iklan seller respond nya sangat cepat,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['barang', 'sesuai', 'dengan', 'iklan', 'seller', 'respond', 'nya', 'sangat', 'cepat']","['barang', 'sesuai', 'dengan', 'iklan', 'seller', 'respond', 'nya', 'sangat', 'cepat']","['barang', 'sesuai', 'iklan', 'seller', 'respond', 'nya', 'cepat']","['barang', 'sesuai', 'iklan', 'seller', 'respond', 'nya', 'cepat']",barang sesuai iklan seller respond nya cepat,2
terima kasih barang sudah sampai ditempat sayaberhubung lokasi penjual dengan saya tidak terlalu jauhpengiriman cukup cepat dan produknya berfungsi dengan baik,4,pertukangan,Hekter Tembak / Staples / Guntacker,"['terima', 'kasih', 'barang', 'sudah', 'sampai', 'ditempat', 'sayaberhubung', 'lokasi', 'penjual', 'dengan', 'saya', 'tidak', 'terlalu', 'jauhpengiriman', 'cukup', 'cepat', 'dan', 'produknya', 'berfungsi', 'dengan', 'baik']","['terima', 'kasih', 'barang', 'sudah', 'sampai', 'ditempat', 'sayaberhubung', 'lokasi', 'penjual', 'dengan', 'saya', 'tidak', 'terlalu', 'jauhpengiriman', 'cukup', 'cepat', 'dan', 'produknya', 'berfungsi', 'dengan', 'baik']","['terima', 'kasih', 'barang', 'ditempat', 'sayaberhubung', 'lokasi', 'penjual', 'jauhpengiriman', 'cepat', 'produknya', 'berfungsi']","['terima', 'kasih', 'barang', 'tempat', 'sayaberhubung', 'lokasi', 'jual', 'jauhpengiriman', 'cepat', 'produk', 'fungsi']",terima kasih barang tempat sayaberhubung lokasi jual jauhpengiriman cepat produk fungsi,2
terima kasih sudah sampai kemarin,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['terima', 'kasih', 'sudah', 'sampai', 'kemarin']","['terima', 'kasih', 'sudah', 'sampai', 'kemarin']","['terima', 'kasih', 'kemarin']","['terima', 'kasih', 'kemarin']",terima kasih kemarin,2
barang sudah sampai kualitas ok,3,pertukangan,Hekter Tembak / Staples / Guntacker,"['barang', 'sudah', 'sampai', 'kualitas', 'ok']","['barang', 'sudah', 'sampai', 'kualitas', 'oke']","['barang', 'kualitas', 'oke']","['barang', 'kualitas', 'oke']",barang kualitas oke,1
paket sudah smpai cept dan rapi makasi gan,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['paket', 'sudah', 'smpai', 'cept', 'dan', 'rapi', 'makasi', 'gan']","['paket', 'sudah', 'sampai', 'cepat', 'dan', 'rapi', 'terima kasih', 'juragan']","['paket', 'cepat', 'rapi', 'terima kasih', 'juragan']","['paket', 'cepat', 'rapi', 'terima kasih', 'juragan']",paket cepat rapi terima kasih juragan,2
kualitas barang sesuai harga recommended seller,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['kualitas', 'barang', 'sesuai', 'harga', 'recommended', 'seller']","['kualitas', 'barang', 'sesuai', 'harga', 'rekomendasi', 'seller']","['kualitas', 'barang', 'sesuai', 'harga', 'rekomendasi', 'seller']","['kualitas', 'barang', 'sesuai', 'harga', 'rekomendasi', 'seller']",kualitas barang sesuai harga rekomendasi seller,2
thanks bos brg sudah ku terima,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['thanks', 'bos', 'brg', 'sudah', 'ku', 'terima']","['terima kasih', 'bos', 'barang', 'sudah', 'ku', 'terima']","['terima kasih', 'bos', 'barang', 'ku', 'terima']","['terima kasih', 'bos', 'barang', 'ku', 'terima']",terima kasih bos barang ku terima,2
barang berfungsi baikthanks transaksinya,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['barang', 'berfungsi', 'baikthanks', 'transaksinya']","['barang', 'berfungsi', 'baikthanks', 'transaksinya']","['barang', 'berfungsi', 'baikthanks', 'transaksinya']","['barang', 'fungsi', 'baikthanks', 'transaksi']",barang fungsi baikthanks transaksi,2
sip mantap cepat  memuas kan binggo,4,pertukangan,Hekter Tembak / Staples / Guntacker,"['sip', 'mantap', 'cepat', 'memuas', 'kan', 'binggo']","['sip', 'mantap', 'cepat', 'memuas', 'kan', 'banget']","['sip', 'mantap', 'cepat', 'memuas', 'banget']","['sip', 'mantap', 'cepat', 'muas', 'banget']",sip mantap cepat muas banget,2
terima kasih,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['terima', 'kasih']","['terima', 'kasih']","['terima', 'kasih']","['terima', 'kasih']",terima kasih,2
makasih gan barang sudah diterima,5,pertukangan,Hekter Tembak / Staples / Guntacker,"['makasih', 'gan', 'barang', 'sudah', 'diterima']","['terima kasih', 'juragan', 'barang', 'sudah', 'diterima']","['terima kasih', 'juragan', 'barang', 'diterima']","['terima kasih', 'juragan', 'barang', 'terima']",terima kasih juragan barang terima,2
